age,education,education-num,marital-status,occupation,relationship,race,sex
"[51, 54)",HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[42, 45)",Masters,14,Divorced,Exec-managerial,Unmarried,White,Female
"[39, 42)",Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male
"[27, 30)",Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male
"[24, 27)",Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female
"[15, 18)",HS-grad,9,Never-married,Other-service,Own-child,White,Female
"[45, 48)",Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female
"[48, 51)",Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male
"[45, 48)",HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male
"[42, 45)",Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male
"[45, 48)",5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[33, 36)",Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male
"[39, 42)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[27, 30)",HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[27, 30)",Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
"[30, 33)",7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male
"[45, 48)",HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
"[39, 42)",Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[27, 30)",Some-college,10,Divorced,Tech-support,Not-in-family,White,Male
"[33, 36)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[27, 30)",Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female
"[51, 54)",HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female
"[48, 51)",Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[24, 27)",Some-college,10,Never-married,?,Own-child,White,Male
"[18, 21)",Some-college,10,Never-married,Prof-specialty,Own-child,White,Male
"[30, 33)",Bachelors,13,Separated,Sales,Own-child,Black,Female
"[27, 30)",Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
"[21, 24)",Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male
"[78, 81)",Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
"[24, 27)",HS-grad,9,Never-married,Other-service,Own-child,White,Male
"[39, 42)",Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[66, 69)",10th,6,Married-civ-spouse,?,Husband,White,Male
"[15, 18)",11th,7,Never-married,Other-service,Own-child,White,Female
"[30, 33)",7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male
"[15, 18)",HS-grad,9,Never-married,Sales,Not-in-family,White,Male
"[51, 54)",Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male
"[45, 48)",HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
"[57, 60)",HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
"[42, 45)",HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female
"[51, 54)",HS-grad,9,Divorced,Sales,Own-child,White,Female
"[48, 51)",HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
"[30, 33)",Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[27, 30)",9th,5,Never-married,Sales,Not-in-family,White,Male
"[42, 45)",Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female
"[54, 57)",Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[36, 39)",Some-college,10,Divorced,Craft-repair,Unmarried,White,Female
"[27, 30)",Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female
"[27, 30)",HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female
"[33, 36)",Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male
"[27, 30)",Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male
"[45, 48)",Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[36, 39)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[45, 48)",Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female
"[30, 33)",HS-grad,9,Never-married,Other-service,Own-child,Black,Male
"[75, 78)",Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[42, 45)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[45, 48)",Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
"[18, 21)",Some-college,10,Never-married,Tech-support,Own-child,White,Female
"[27, 30)",HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male
"[30, 33)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[15, 18)",10th,6,Never-married,?,Own-child,White,Female
"[27, 30)",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male
"[30, 33)",HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female
"[39, 42)",HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
"[21, 24)",Bachelors,13,Never-married,Sales,Other-relative,White,Male
"[36, 39)",Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[54, 57)",HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
"[27, 30)",Some-college,10,Married-civ-spouse,Sales,Wife,White,Female
"[33, 36)",HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female
"[51, 54)",9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
"[54, 57)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[48, 51)",Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male
"[54, 57)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[21, 24)",HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male
"[18, 21)",Some-college,10,Never-married,Other-service,Own-child,White,Female
"[39, 42)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[27, 30)",Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male
"[27, 30)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[18, 21)",Some-college,10,Never-married,Other-service,Own-child,Black,Male
"[45, 48)",Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female
"[18, 21)",Some-college,10,Never-married,Adm-clerical,Own-child,White,Female
"[30, 33)",Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[33, 36)",HS-grad,9,Married-civ-spouse,?,Husband,White,Male
"[36, 39)",Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
"[27, 30)",Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female
"[21, 24)",HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
"[36, 39)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[36, 39)",Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
"[45, 48)",Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female
"[36, 39)",Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[42, 45)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[24, 27)",Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female
"[18, 21)",Some-college,10,Never-married,Sales,Own-child,White,Male
"[48, 51)",Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
"[60, 63)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[24, 27)",Some-college,10,Never-married,Sales,Own-child,White,Female
"[18, 21)",Some-college,10,Never-married,Other-service,Own-child,White,Male
"[42, 45)",Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female
"[69, 72)",Some-college,10,Never-married,Tech-support,Other-relative,White,Male
"[30, 33)",HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female
"[21, 24)",Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male
"[33, 36)",HS-grad,9,Widowed,Other-service,Unmarried,White,Female
"[63, 66)",11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male
"[42, 45)",Some-college,10,Divorced,?,Not-in-family,White,Female
"[45, 48)",Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female
"[33, 36)",HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female
"[30, 33)",Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female
"[18, 21)",HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
"[51, 54)",HS-grad,9,Divorced,?,Not-in-family,White,Male
"[45, 48)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[21, 24)",Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male
"[69, 72)",Some-college,10,Separated,Sales,Unmarried,Black,Male
"[27, 30)",HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male
"[39, 42)",Bachelors,13,Separated,Other-service,Other-relative,Black,Male
"[66, 69)",1st-4th,2,Divorced,?,Not-in-family,White,Female
"[24, 27)",HS-grad,9,Never-married,Other-service,Unmarried,White,Female
"[42, 45)",Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female
"[27, 30)",HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female
"[42, 45)",Masters,14,Married-civ-spouse,Sales,Husband,White,Male
"[33, 36)",Some-college,10,Divorced,Other-service,Unmarried,White,Female
"[36, 39)",Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male
"[45, 48)",Masters,14,Widowed,Protective-serv,Unmarried,White,Male
"[15, 18)",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male
"[63, 66)",Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female
"[24, 27)",HS-grad,9,Never-married,Other-service,Not-in-family,White,Male
"[27, 30)",HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
"[48, 51)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[24, 27)",Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male
"[27, 30)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[24, 27)",HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female
"[18, 21)",HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male
"[33, 36)",HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male
"[15, 18)",HS-grad,9,Never-married,Other-service,Own-child,White,Male
"[30, 33)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[42, 45)",Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male
"[42, 45)",Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female
"[27, 30)",Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male
"[39, 42)",7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[36, 39)",Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[33, 36)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male
"[39, 42)",Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female
"[51, 54)",Bachelors,13,Divorced,?,Not-in-family,White,Female
"[30, 33)",Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female
"[57, 60)",Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[36, 39)",Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female
"[21, 24)",Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[39, 42)",Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male
"[45, 48)",Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male
"[39, 42)",Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
"[21, 24)",5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male
"[33, 36)",Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
"[39, 42)",Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female
"[33, 36)",Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
"[21, 24)",HS-grad,9,Never-married,Sales,Not-in-family,White,Male
"[24, 27)",Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
"[18, 21)",HS-grad,9,Never-married,?,Own-child,White,Male
"[48, 51)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[39, 42)",Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female
"[36, 39)",HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female
"[15, 18)",11th,7,Never-married,Sales,Own-child,White,Female
"[33, 36)",Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male
"[33, 36)",HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male
"[57, 60)",HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female
"[15, 18)",11th,7,Never-married,Sales,Own-child,White,Female
"[42, 45)",HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male
"[36, 39)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female
"[57, 60)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
"[51, 54)",7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[36, 39)",Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male
"[48, 51)",Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female
"[36, 39)",Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
"[42, 45)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[24, 27)",10th,6,Never-married,Craft-repair,Not-in-family,White,Male
"[30, 33)",Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
"[63, 66)",1st-4th,2,Divorced,?,Not-in-family,White,Male
"[87, 90)",HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male
"[51, 54)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male
"[51, 54)",Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female
"[15, 18)",HS-grad,9,Never-married,Sales,Own-child,White,Female
"[57, 60)",10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female
"[63, 66)",HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male
"[72, 75)",Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female
"[63, 66)",HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female
"[33, 36)",11th,7,Separated,Transport-moving,Not-in-family,Black,Male
"[39, 42)",HS-grad,9,Divorced,Sales,Unmarried,Black,Female
"[24, 27)",Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male
"[30, 33)",Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female
"[27, 30)",Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male
"[57, 60)",HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
"[39, 42)",Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female
"[39, 42)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[36, 39)",Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[21, 24)",HS-grad,9,Never-married,Transport-moving,Own-child,White,Male
"[39, 42)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[39, 42)",HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
"[21, 24)",Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male
"[18, 21)",Some-college,10,Never-married,?,Own-child,White,Male
"[36, 39)",Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
"[54, 57)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[57, 60)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[30, 33)",HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
"[39, 42)",Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male
"[42, 45)",HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[39, 42)",Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female
"[39, 42)",Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female
"[57, 60)",10th,6,Widowed,Other-service,Unmarried,Black,Female
"[18, 21)",Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
"[57, 60)",Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male
"[39, 42)",HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male
"[18, 21)",HS-grad,9,Never-married,Other-service,Own-child,White,Female
"[30, 33)",HS-grad,9,Separated,Other-service,Not-in-family,White,Female
"[42, 45)",Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female
"[48, 51)",7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male
"[33, 36)",Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female
"[42, 45)",HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
"[15, 18)",11th,7,Never-married,Other-service,Own-child,White,Male
"[57, 60)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[24, 27)",11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male
"[36, 39)",Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
"[18, 21)",Some-college,10,Never-married,?,Own-child,White,Male
"[63, 66)",HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[30, 33)",Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female
"[30, 33)",HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female
"[60, 63)",HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[15, 18)",9th,5,Never-married,Other-service,Own-child,White,Male
"[48, 51)",Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male
"[24, 27)",Masters,14,Never-married,Prof-specialty,Own-child,White,Male
"[27, 30)",HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female
"[42, 45)",HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
"[42, 45)",Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female
"[24, 27)",Some-college,10,Never-married,Tech-support,Own-child,White,Female
"[21, 24)",Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female
"[21, 24)",Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female
"[39, 42)",Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female
"[57, 60)",Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female
"[18, 21)",HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male
"[54, 57)",Masters,14,Married-civ-spouse,Sales,Husband,White,Male
"[39, 42)",Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[48, 51)",Some-college,10,Divorced,Other-service,Not-in-family,White,Male
"[24, 27)",Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female
"[48, 51)",7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[30, 33)",HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female
"[27, 30)",Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male
"[18, 21)",Some-college,10,Never-married,Sales,Own-child,White,Male
"[24, 27)",Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female
"[63, 66)",HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
"[36, 39)",Bachelors,13,Divorced,Sales,Not-in-family,White,Female
"[36, 39)",Masters,14,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female
"[21, 24)",HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
"[36, 39)",HS-grad,9,Divorced,Sales,Not-in-family,White,Male
"[45, 48)",Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[18, 21)",Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female
"[30, 33)",HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
"[54, 57)",HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
"[21, 24)",Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female
"[42, 45)",HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female
"[24, 27)",Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male
"[45, 48)",Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female
"[33, 36)",Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[39, 42)",Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male
"[24, 27)",Bachelors,13,Never-married,Sales,Not-in-family,White,Male
"[33, 36)",Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
"[18, 21)",Some-college,10,Never-married,?,Own-child,Black,Female
"[33, 36)",Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female
"[21, 24)",Some-college,10,Never-married,Sales,Own-child,White,Male
"[21, 24)",Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male
"[75, 78)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[21, 24)",5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female
"[27, 30)",Some-college,10,Never-married,Tech-support,Not-in-family,White,Female
"[60, 63)",HS-grad,9,Widowed,Other-service,Not-in-family,White,Female
"[36, 39)",HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[42, 45)",Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male
"[27, 30)",11th,7,Never-married,Exec-managerial,Not-in-family,White,Female
"[75, 78)",Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male
"[60, 63)",HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male
"[21, 24)",Assoc-voc,11,Never-married,?,Own-child,Black,Female
"[42, 45)",Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female
"[57, 60)",HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
"[63, 66)",HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male
"[39, 42)",Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male
"[24, 27)",Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male
"[45, 48)",Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male
"[54, 57)",10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male
"[51, 54)",HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
"[15, 18)",5th-6th,3,Never-married,Other-service,Other-relative,White,Male
"[27, 30)",HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male
"[48, 51)",Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male
"[18, 21)",HS-grad,9,Never-married,Sales,Unmarried,Black,Male
"[42, 45)",HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male
"[24, 27)",Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male
"[36, 39)",Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male
"[33, 36)",HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
