age,education,marital-status,occupation,relationship,race,sex
48,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
53,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
24,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male
49,HS-grad,Separated,Adm-clerical,Unmarried,White,Female
25,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male
57,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male
53,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
44,Masters,Divorced,Exec-managerial,Unmarried,White,Female
41,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male
29,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male
25,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female
18,HS-grad,Never-married,Other-service,Own-child,White,Female
47,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female
50,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male
47,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male
43,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male
46,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
35,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male
41,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
30,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
30,Bachelors,Married-civ-spouse,Sales,Husband,White,Male
32,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male
48,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male
42,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male
29,Some-college,Divorced,Tech-support,Not-in-family,White,Male
36,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
28,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female
53,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female
49,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male
25,Some-college,Never-married,?,Own-child,White,Male
19,Some-college,Never-married,Prof-specialty,Own-child,White,Male
31,Bachelors,Separated,Sales,Own-child,Black,Female
29,Bachelors,Married-civ-spouse,Sales,Husband,White,Male
23,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male
79,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
27,HS-grad,Never-married,Other-service,Own-child,White,Male
40,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male
67,10th,Married-civ-spouse,?,Husband,White,Male
18,11th,Never-married,Other-service,Own-child,White,Female
31,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male
18,HS-grad,Never-married,Sales,Not-in-family,White,Male
52,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male
46,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female
59,HS-grad,Married-civ-spouse,Sales,Husband,White,Male
44,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female
53,HS-grad,Divorced,Sales,Own-child,White,Female
49,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male
33,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male
30,9th,Never-married,Sales,Not-in-family,White,Male
43,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female
57,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male
37,Some-college,Divorced,Craft-repair,Unmarried,White,Female
28,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female
30,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female
34,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male
29,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male
48,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male
37,Some-college,Married-civ-spouse,Sales,Husband,White,Male
48,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female
32,HS-grad,Never-married,Other-service,Own-child,Black,Male
76,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male
44,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
47,Masters,Never-married,Prof-specialty,Not-in-family,White,Female
20,Some-college,Never-married,Tech-support,Own-child,White,Female
29,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male
32,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
17,10th,Never-married,?,Own-child,White,Female
30,11th,Never-married,Handlers-cleaners,Own-child,White,Male
31,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female
42,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
24,Bachelors,Never-married,Sales,Other-relative,White,Male
38,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male
56,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male
28,Some-college,Married-civ-spouse,Sales,Wife,White,Female
36,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female
53,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
56,Some-college,Married-civ-spouse,Sales,Husband,White,Male
49,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male
55,Some-college,Married-civ-spouse,Sales,Husband,White,Male
22,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male
21,Some-college,Never-married,Other-service,Own-child,White,Female
40,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
30,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male
29,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
19,Some-college,Never-married,Other-service,Own-child,Black,Male
47,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female
20,Some-college,Never-married,Adm-clerical,Own-child,White,Female
31,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male
35,HS-grad,Married-civ-spouse,?,Husband,White,Male
39,Some-college,Divorced,Craft-repair,Not-in-family,White,Male
28,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female
24,HS-grad,Never-married,Other-service,Not-in-family,White,Female
38,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
37,Bachelors,Married-civ-spouse,Sales,Husband,White,Male
46,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female
38,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male
43,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
27,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female
20,Some-college,Never-married,Sales,Own-child,White,Male
49,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
61,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
27,Some-college,Never-married,Sales,Own-child,White,Female
19,Some-college,Never-married,Other-service,Own-child,White,Male
45,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female
70,Some-college,Never-married,Tech-support,Other-relative,White,Male
31,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female
22,Some-college,Married-civ-spouse,Other-service,Husband,White,Male
36,HS-grad,Widowed,Other-service,Unmarried,White,Female
64,11th,Married-civ-spouse,Craft-repair,Husband,White,Male
43,Some-college,Divorced,?,Not-in-family,White,Female
47,Some-college,Divorced,Adm-clerical,Unmarried,White,Female
34,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female
33,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female
21,HS-grad,Never-married,Craft-repair,Own-child,White,Male
52,HS-grad,Divorced,?,Not-in-family,White,Male
48,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
23,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male
71,Some-college,Separated,Sales,Unmarried,Black,Male
29,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male
42,Bachelors,Separated,Other-service,Other-relative,Black,Male
68,1st-4th,Divorced,?,Not-in-family,White,Female
25,HS-grad,Never-married,Other-service,Unmarried,White,Female
44,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female
28,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female
45,Masters,Married-civ-spouse,Sales,Husband,White,Male
36,Some-college,Divorced,Other-service,Unmarried,White,Female
39,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male
46,Masters,Widowed,Protective-serv,Unmarried,White,Male
18,11th,Never-married,Handlers-cleaners,Own-child,White,Male
66,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female
27,HS-grad,Never-married,Other-service,Not-in-family,White,Male
28,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male
51,Some-college,Married-civ-spouse,Sales,Husband,White,Male
27,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male
28,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
27,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female
21,HS-grad,Never-married,Craft-repair,Own-child,Black,Male
34,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male
18,HS-grad,Never-married,Other-service,Own-child,White,Male
33,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
44,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male
43,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female
30,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male
40,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
37,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male
34,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male
41,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female
53,Bachelors,Divorced,?,Not-in-family,White,Female
31,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female
58,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male
38,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female
24,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
41,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male
47,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male
41,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male
23,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male
36,Some-college,Divorced,Craft-repair,Not-in-family,White,Male
40,Masters,Never-married,Exec-managerial,Not-in-family,White,Female
35,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
24,HS-grad,Never-married,Sales,Not-in-family,White,Male
26,Masters,Never-married,Prof-specialty,Not-in-family,White,Female
19,HS-grad,Never-married,?,Own-child,White,Male
51,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
42,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female
37,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female
18,11th,Never-married,Sales,Own-child,White,Female
36,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male
35,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male
58,HS-grad,Married-civ-spouse,Sales,Wife,White,Female
17,11th,Never-married,Sales,Own-child,White,Female
44,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male
37,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
35,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female
60,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
54,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
37,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male
50,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female
38,Bachelors,Married-civ-spouse,Sales,Husband,White,Male
45,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
25,10th,Never-married,Craft-repair,Not-in-family,White,Male
31,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
64,1st-4th,Divorced,?,Not-in-family,White,Male
90,HS-grad,Never-married,Other-service,Not-in-family,Black,Male
54,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male
53,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female
18,HS-grad,Never-married,Sales,Own-child,White,Female
60,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female
66,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male
75,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female
65,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female
35,11th,Separated,Transport-moving,Not-in-family,Black,Male
41,HS-grad,Divorced,Sales,Unmarried,Black,Female
25,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male
33,Some-college,Divorced,Craft-repair,Other-relative,Other,Female
28,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male
59,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male
40,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female
41,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
38,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male
23,HS-grad,Never-married,Transport-moving,Own-child,White,Male
40,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
41,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female
24,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male
20,Some-college,Never-married,?,Own-child,White,Male
38,Some-college,Divorced,Craft-repair,Not-in-family,White,Male
56,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
58,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
32,HS-grad,Never-married,Other-service,Not-in-family,White,Female
40,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male
45,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
41,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female
42,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female
59,10th,Widowed,Other-service,Unmarried,Black,Female
19,Some-college,Never-married,Adm-clerical,Own-child,White,Male
58,Some-college,Never-married,Transport-moving,Not-in-family,White,Male
42,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male
20,HS-grad,Never-married,Other-service,Own-child,White,Female
32,HS-grad,Separated,Other-service,Not-in-family,White,Female
45,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female
50,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male
36,Bachelors,Divorced,Prof-specialty,Own-child,White,Female
45,HS-grad,Married-civ-spouse,Sales,Husband,White,Male
17,11th,Never-married,Other-service,Own-child,White,Male
59,Some-college,Married-civ-spouse,Sales,Husband,White,Male
26,11th,Married-civ-spouse,Craft-repair,Husband,White,Male
37,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
19,Some-college,Never-married,?,Own-child,White,Male
64,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male
33,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female
33,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female
61,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male
17,9th,Never-married,Other-service,Own-child,White,Male
50,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male
27,Masters,Never-married,Prof-specialty,Own-child,White,Male
30,HS-grad,Divorced,Prof-specialty,Own-child,White,Female
43,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
44,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male
35,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female
25,Some-college,Never-married,Tech-support,Own-child,White,Female
24,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female
22,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female
42,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male
34,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female
60,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female
21,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male
57,Masters,Married-civ-spouse,Sales,Husband,White,Male
41,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male
50,Some-college,Divorced,Other-service,Not-in-family,White,Male
25,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female
50,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male
36,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female
29,Bachelors,Never-married,Protective-serv,Not-in-family,White,Male
21,Some-college,Never-married,Sales,Own-child,White,Male
27,Bachelors,Never-married,Tech-support,Unmarried,Black,Female
65,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male
37,Bachelors,Divorced,Sales,Not-in-family,White,Female
39,Masters,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female
24,HS-grad,Never-married,Craft-repair,Own-child,White,Male
38,HS-grad,Divorced,Sales,Not-in-family,White,Male
48,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male
21,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female
31,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male
55,HS-grad,Married-civ-spouse,Sales,Husband,White,Male
24,Some-college,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female
43,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female
26,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Male
46,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female
35,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male
41,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male
26,Bachelors,Never-married,Sales,Not-in-family,White,Male
34,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
19,Some-college,Never-married,?,Own-child,Black,Female
36,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Female
22,Some-college,Never-married,Sales,Own-child,White,Male
24,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male
77,Some-college,Married-civ-spouse,Sales,Husband,White,Male
22,5th-6th,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female
29,Some-college,Never-married,Tech-support,Not-in-family,White,Female
62,HS-grad,Widowed,Other-service,Not-in-family,White,Female
39,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male
43,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male
35,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male
29,11th,Never-married,Exec-managerial,Not-in-family,White,Female
76,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male
63,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male
23,Assoc-voc,Never-married,?,Own-child,Black,Female
43,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female
58,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
66,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male
41,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male
26,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male
47,Assoc-voc,Never-married,Other-service,Not-in-family,White,Male
55,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male
53,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male
17,5th-6th,Never-married,Other-service,Other-relative,White,Male
30,HS-grad,Never-married,Craft-repair,Other-relative,White,Male
49,Masters,Never-married,Prof-specialty,Not-in-family,White,Male
19,HS-grad,Never-married,Sales,Unmarried,Black,Male
45,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male
26,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male
38,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male
36,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male
33,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male
22,Some-college,Never-married,Protective-serv,Own-child,Black,Female
43,Bachelors,Never-married,Sales,Not-in-family,White,Male
67,11th,Married-civ-spouse,?,Husband,White,Male
30,Assoc-voc,Divorced,?,Unmarried,White,Female
56,Assoc-acdm,Married-spouse-absent,Other-service,Not-in-family,White,Male
31,Bachelors,Never-married,Prof-specialty,Own-child,White,Male
33,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
26,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male
33,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
46,11th,Married-civ-spouse,Transport-moving,Husband,White,Male
59,Bachelors,Married-civ-spouse,?,Husband,White,Male
38,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
65,11th,Widowed,Other-service,Unmarried,Other,Male
40,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male
42,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female
26,9th,Married-civ-spouse,Craft-repair,Husband,White,Male
36,10th,Married-civ-spouse,Other-service,Wife,White,Female
62,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male
43,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male
43,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male
22,HS-grad,Married-spouse-absent,Sales,Not-in-family,White,Male
28,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
56,Some-college,Married-civ-spouse,Sales,Husband,White,Male
22,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female
57,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female
39,HS-grad,Divorced,Sales,Unmarried,White,Female
26,Some-college,Never-married,Adm-clerical,Unmarried,White,Female
17,11th,Never-married,Other-service,Own-child,White,Male
40,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
45,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male
44,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male
20,Some-college,Never-married,Adm-clerical,Own-child,White,Female
33,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female
23,Some-college,Never-married,Sales,Not-in-family,White,Male
46,Masters,Divorced,Exec-managerial,Not-in-family,White,Male
38,HS-grad,Married-civ-spouse,Sales,Husband,White,Male
54,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male
46,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female
25,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male
46,Some-college,Divorced,Sales,Not-in-family,White,Female
36,Some-college,Married-civ-spouse,Transport-moving,Wife,White,Female
23,HS-grad,Never-married,Other-service,Not-in-family,White,Female
29,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Male
44,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female
19,Some-college,Never-married,Adm-clerical,Own-child,White,Female
19,HS-grad,Never-married,Other-service,Other-relative,White,Female
35,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female
27,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male
46,Assoc-acdm,Separated,Craft-repair,Not-in-family,White,Male
34,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
34,HS-grad,Never-married,Other-service,Not-in-family,White,Female
44,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male
45,Some-college,Divorced,Handlers-cleaners,Unmarried,White,Female
20,HS-grad,Never-married,?,Other-relative,White,Female
25,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
52,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male
20,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male
28,Some-college,Never-married,Other-service,Not-in-family,White,Female
50,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male
34,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Female
28,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male
41,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male
28,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male
46,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male
28,Some-college,Married-civ-spouse,?,Wife,White,Female
32,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male
41,Some-college,Divorced,Other-service,Not-in-family,Black,Female
24,HS-grad,Never-married,Handlers-cleaners,Unmarried,Black,Female
33,Some-college,Divorced,Exec-managerial,Unmarried,White,Female
46,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male
31,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
35,12th,Divorced,Craft-repair,Not-in-family,White,Male
52,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
30,11th,Never-married,Other-service,Own-child,White,Female
34,11th,Separated,Machine-op-inspct,Not-in-family,Black,Male
34,HS-grad,Divorced,Transport-moving,Unmarried,White,Female
20,Some-college,Married-civ-spouse,Sales,Husband,White,Male
17,11th,Never-married,Handlers-cleaners,Own-child,White,Male
32,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female
29,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male
33,10th,Never-married,Craft-repair,Unmarried,White,Female
25,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male
36,Masters,Never-married,Prof-specialty,Not-in-family,White,Male
23,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male
